Loading existing Q-table from q_table.npy
Loaded Q-table shape: (36, 5)
Warning: Shape mismatch! Expected (288, 5)
Initializing new Q-table with zeros
Q-table shape: (288, 5)
Starting training...
current distance: 44.060911293415735
current distance: 43.37383393681085
current distance: 43.21714815421263
current distance: 42.58210528037045
current distance: 42.36993680419076
current distance: 41.88085553311801
current distance: 41.43481014507984
current distance: 40.95181516729104
current distance: 40.74447013096055
current distance: 40.68943675978242
current distance: 40.72647214874059
current distance: 40.63627493664412
current distance: 40.46755097470793
current distance: 40.1774088716434
current distance: 39.72227652722684
current distance: 38.84973107325467
current distance: 38.04747958520359
current distance: 37.32195712782125
current distance: 36.8778580871174
current distance: 36.934517105699406
current distance: 37.032045392123294
current distance: 37.147836146581774
current distance: 37.888384273736996
current distance: 37.80740111975192
current distance: 37.861055702234104
current distance: 37.991188716971344
current distance: 38.661663425522875
current distance: 38.724383139028575
current distance: 38.837599019778864
current distance: 38.95118987500642
current distance: 39.09430142685155
current distance: 40.119452391341305
current distance: 39.68455513504108
current distance: 39.62383824499265
current distance: 40.290179994701646
current distance: 40.59725620476395
current distance: 40.68818358407087
current distance: 40.67963946959643
current distance: 40.70654258195523
current distance: 40.16878719045181
current distance: 40.83176613425348
current distance: 41.24285855822054
current distance: 41.85932672483907
current distance: 41.71622573946594
current distance: 41.24092754891914
current distance: 41.337819070652344
current distance: 41.50825477389752
current distance: 42.0544304565902
current distance: 41.82297504453463
current distance: 41.745726889548486
current distance: 41.72320714435272
current distance: 42.01041925871984
current distance: 41.7024096102575
current distance: 41.62524645876869
current distance: 41.580337821265246
current distance: 40.81208295650851
current distance: 41.73881504338768
current distance: 41.44427796839897
current distance: 41.30366971161147
current distance: 41.28224986471737
current distance: 40.47226280138574
current distance: 41.33191316008376
current distance: 41.772306936312816
current distance: 41.01904377384113
current distance: 40.93432018514878
current distance: 41.46884170823612
current distance: 41.497556366813235
current distance: 41.38125364674989
current distance: 41.48452161363402
current distance: 40.967049436802235
current distance: 41.22292407177749
current distance: 41.401973103700904
current distance: 41.08749073385737
current distance: 41.15055804584833
current distance: 41.169499548498706
current distance: 41.3227978828575
current distance: 41.13171504774701
current distance: 41.40199101746134
current distance: 41.229981148779935
current distance: 41.33354323284822
current distance: 41.42239228245608
current distance: 41.52523273325304
current distance: 41.57910603814375
current distance: 41.54807442049805
current distance: 41.288990353725616
current distance: 41.430472505024596
current distance: 41.59516221391131
current distance: 41.68752649168456
current distance: 41.71142232003048
current distance: 41.78553749014722
current distance: 41.69555861856539
current distance: 41.96822012645088
current distance: 41.99085060072477
current distance: 42.251178231258734
current distance: 42.60012317759879
current distance: 43.07401025981748
current distance: 43.226824224282964
current distance: 43.19740269481121
current distance: 43.20909813651852
current distance: 43.30956101178012
current distance: 43.67178864363807
current distance: 43.911116478936016
current distance: 44.4914602062563
current distance: 44.64146773886673
current distance: 44.90965677187862
current distance: 45.05341684855765
current distance: 45.131284942367415
current distance: 44.76411993230257
current distance: 44.92877721718194
current distance: 45.05737814514303
current distance: 45.12090331830235
current distance: 45.18082634419562
current distance: 44.76818658061875
current distance: 44.332084681531974
current distance: 43.911414096981495
current distance: 44.00778818723138
current distance: 44.35246688691024
current distance: 44.495945892276694
current distance: 44.64140132538741
current distance: 44.36354946215098
current distance: 44.241621097333464
current distance: 44.52165532645624
current distance: 44.250811802605476
current distance: 44.15166206593842
current distance: 44.4203277214423
current distance: 44.52524126828488
